#compound,volumne,Formation_energy,Band_gap,A_e_negativity,A_valence_e,A_first_ionization,A_boiling_point,A_melting_point,A_atomic_radius,A_average_ionic_radius,B_e_negativity,B_valence_e,B_first_ionization,B_boiling_point,B_melting_point,B_atomic_radius,B_average_ionic_radius
BaO,44.255,-2.834,2.091,0.89,2,5.212,2143,1000,2.15,1.49,3.44,6,13.618,90.2,54.8,0.6,1.26
BaS,67.31,-2.411,2.151,0.89,2,5.212,2143,1000,2.15,1.49,2.58,6,10.36,717.87,388.36,1,0.88
BaSe,74.741,-2.047,1.949,0.89,2,5.212,2143,1000,2.15,1.49,2.55,6,9.752,958,494,1.15,1.013333333
BaTe,89.091,-1.789,1.593,0.89,2,5.212,2143,1000,2.15,1.49,2.1,6,9.009,1261,722.66,1.4,1.293333333
Na-N,32.022,1.082,0.001,0.93,1,5.139,1156,370.87,1.8,1.16,3.04,5,14.534,77.36,63.05,0.65,0.63
NaF,25.894,-2.958,6.094,0.93,1,5.139,1156,370.87,1.8,1.16,3.98,7,17.422,85.03,53.53,0.5,0.705
NaCl,46.096,-2.105,5.003,0.93,1,5.139,1156,370.87,1.8,1.16,3.16,7,12.967,239.11,171.6,1,0.78
NaBr,54.749,-1.587,4.09,0.93,1,5.139,1156,370.87,1.8,1.16,2.96,7,11.814,332,265.8,1.15,0.8825
NaI,69.675,-1.278,3.526,0.93,1,5.139,1156,370.87,1.8,1.16,2.66,7,10.451,457.4,386.85,1.4,1.273333333
SrO,35.277,-3.094,3.275,0.95,2,5.695,1655,1050,2,1.32,3.44,6,13.618,90.2,54.8,0.6,1.26
SrS,55.732,-2.482,2.497,0.95,2,5.695,1655,1050,2,1.32,2.58,6,10.36,717.87,388.36,1,0.88
SrSe,62.626,-2.068,2.231,0.95,2,5.695,1655,1050,2,1.32,2.55,6,9.752,958,494,1.15,1.013333333
SrTe,76.007,-1.746,1.762,0.95,2,5.695,1655,1050,2,1.32,2.1,6,9.009,1261,722.66,1.4,1.293333333
LiF,17.022,-3.18,8.716,0.98,1,5.392,1615,453.69,1.45,0.9,3.98,7,17.422,85.03,53.53,0.5,0.705
LiS,31.689,-0.841,0.016,0.98,1,5.392,1615,453.69,1.45,0.9,2.58,6,10.36,717.87,388.36,1,0.88
LiCl,34.202,-2.107,6.25,0.98,1,5.392,1615,453.69,1.45,0.9,3.16,7,12.967,239.11,171.6,1,0.78
LiBr,41.899,-1.548,4.923,0.98,1,5.392,1615,453.69,1.45,0.9,2.96,7,11.814,332,265.8,1.15,0.8825
